Ecotype,Population,Genotype,Elevation,BB,BS,Ds,Ss,gsmax,SLA,LS,Ap,PHMD,PLuA,PLuF,PVD,PF,Kh,Kl,Al,As.Al,Ac,TH,LAI,SSD,SBP,SLuA,SHMD,SLuF,SVD,WP.md,WP.pd
UHP,JLAJAK,JLA148,1521,103,277,156956949.4,3.85E-10,0.604812804,93.78312248,3110.775148,1687200,26.4,112.8,0.0387,0.0004,1.480665336,0.00000109,0.000299362,6.948762949,0.000255538,2.5312325,270,2.74520928,0.46,0.494845361,481.4766014,42.5,0.210129196,0.000216468,-1.191,-0.246
UHP,JLAJAK,JLA150,1521,122,277,165217841.5,3.80E-10,0.625444708,91.3713829,2437.393589,1507875,27.2,108,0.04,0.0003,2.109086933,0.00000121,0.000335514,7.175761342,0.000253033,3.3068125,295.8333333,2.169993413,0.45,0.42019544,653.2249522,39.6,0.178312965,0.000272973,-1.452,-0.408
UHP,JLAJAK,JLA152,1521,122,277,135563357.1,4.46E-10,0.5960838,100.1534441,2134.35426,2072057,22.63,63.7,0.0153,0.000521704,1.51608048,0.000000953,0.000224664,7.146910131,0.000256251,0.988609375,225,7.229255874,0.45,0.43902439,676.5824953,31.5,0.216412178,0.000449476,-1.434,-0.48
UHP,JLAJAK,JLA155,1521,122,277,152296959,4.34E-10,0.657691295,88.79292398,3656.698083,2174258,22.4,93.3,0.054,0.0006,1.739018453,0.00000159,0.000374981,9.849607231,0.000256948,4.0250875,289.1666667,2.44705419,0.45,0.4,608.7911727,37.2,0.177836445,0.000292114,-1.388,-0.448
UHP,JLAJAK,JLA157,1521,103,277,182375078.8,4.10E-10,0.697120787,96.15300696,2452.346425,1264139,22,135.7,0.0714,0.0009,1.499759803,0.00000158,0.000471684,5.165009611,0.000255941,2.62818,285,1.965241959,0.44,0.303738318,516.6634624,32.9,0.154936797,0.00029988,-1.341,-0.432
UHP,KKHOPI,KKH165,1940,122,277,142976978.2,3.67E-10,0.537904353,92.17731548,3131.996317,1328641,25,89.8,0.0814,0.0009,1.636544898,0.00000139,0.000387282,12.41778401,0.000271259,2.668705625,226.6666667,4.653111191,0.43,0.410852713,615.7502264,46.1,0.352215836,0.000394002,-1.296,-0.623333333
UHP,KKHOPI,KKH167,1940,122,277,194872325.8,2.99E-10,0.658560475,86.80425876,3889.521533,900598,25.3,111.9,0.0634,0.0006,1.701374119,0.000000895,0.000327259,11.76982254,0.000266984,3.02990375,302.5,3.884553277,0.43,0.4,566.5413369,33.2,0.158641512,0.000264104,-1.378,-0.412
UHP,KKHOPI,KKH171,1940,103,277,154415136.4,4.12E-10,0.600551387,88.19063262,2605.050553,707857,21.1,83.1,0.06,0.0006,1.527090041,0.000000731,0.000299105,13.25387961,0.000263327,2.80931875,304.1666667,4.717826914,0.44,0.328767123,797.9535528,40.5,0.146733392,0.000183887,-1.207,-0.498
UHP,KKHOPI,KKH172,1940,103,277,146154244.3,4.69E-10,0.606166291,93.15541406,2781.663567,1820128,26.6,83.2,0.0578,0.0004,1.573721967,0.00000101,0.000411735,12.30684786,0.000267453,3.32113875,303.3333333,3.705610872,0.44,0.494791667,560.2722346,36.8,0.22144562,0.000359635,-1.191,-0.442
UHP,KKHOPI,KKH173,1940,122,277,121583385.9,5.08E-10,0.542608356,94.33982871,2040.884051,2022803,23,105.5,0.0297,0.0002,1.685416764,0.000000621,0.000232065,10.28150537,0.000266617,2.4425275,271.6666667,4.209371387,0.41,0.34375,893.9450261,35.8,0.209356192,0.000369534,-1.31,-0.44
UHP,KKHOPI,KKH181,1940,122,277,158016038.1,2.95E-10,0.528558927,92.90191317,3642.176333,2162682,24.7,117.4,0.0299,0.0002,1.577182587,0.00000111,0.000290668,11.717931,0.000266425,3.4920725,288.3333333,3.355580676,0.44,0.426008969,672.5233436,36.4,0.279784644,0.000499373,-1.608,-0.52
